;date;title;author;link;likes;comments;notes
50;26.04;Какой Kindle купить в 2023 году;Ольга Щербинина ;/kindle-wanted/;10;20;7
51;25.04;Лучшие беспроводные мыши;Никита Богуславский ;/best-wireless-mice/;8;27;15
52;21.04;Моя косметичка: уход за кожей с сезонным себорейным дерматитом;Елизавета ;/skin-care-for-seasonal-seborrheic-dermatitis-for-20000-per-year/;7;3;4
53;18.04;Топ складных смартфонов: 4 удачных варианта от 57 000 ₽;Александр Герасимов ;/best-folding-phones/;3;5;3
54;17.04;«Глаза жалко, а деньги — не очень»: 8 проверенных растворов для линз;Юлия Коняхина ;/lens-solutions/;8;15;9
55;17.04;«Глаза жалко, а деньги — не очень»: 8 проверенных растворов для линз;Юлия Коняхина ;/lens-solutions/;8;15;9
56;17.04;Лучшие топоры: чем рубить и колоть;Артем Соколов ;/best-axes/;10;9;4
57;14.04;Лучшие гигиенические прокладки;Елена Шипилова ;/best-menstrual-pads/;14;46;11
58;14.04;Моя косметичка: как я ищу уход за кожей с поврежденным защитным барьером;Норма Джин ;/care-for-dry-young-skin-with-an-impaired-lipid-barrier/;12;9;11
59;12.04;Зачем для уборки дома мне нужны пять пылесосов;Виталий Чумаков ;/my-vacuum-cleaners/;20;21;25
60;11.04;Лучшие колонки с Алисой, которые можно купить;Евгений Вильдяев ;/best-with-alice/;18;23;12
61;10.04;Я собрала ПК для дизайнерских утех за 225 000 ₽;Адиюх Шипшева ;/pc-for-design/;12;13;6
62;07.04;Топ летних беговых кроссовок: для легких пробежек и серьезных тренировок;Мария Киселева ;/beg-letom/;45;71;79
63;07.04;Моя косметичка: как я ухаживаю за молодой кожей и покупаю минимум декоративной косметики;Лиза ;/care-for-young-skin-prone-to-rashes-and-redness/;9;6;10
64;06.04;Какой Макбук купить в 2023 году;Даниил Баздырев ;/best-macbook/;11;25;8
65;05.04;Лучшие беспроводные шуруповерты до 10 000 ₽;Николай Овчинников ;/best-screwgun-not-screw-up/;7;33;9
66;04.04;Samsung Galaxy S23: обзор компактного флагмана с хорошей камерой;Михаил Полярус ;/s23-review/;11;10;2
67;03.04;Я нашла хороший пружинный матрас 180 × 200 см после ухода «Икеи» из России;Кира Ступникова ;/spring-mattresses/;31;46;52
68;31.03;Лучшие мультиварки-скороварки: с чем можно меньше стоять у плиты;Юлия Скопич ;/best-and-fast/;6;13;12
69;31.03;Моя косметичка: как я ухаживаю за кожей 50+ с сухими участками;Марианна Черанева ;/five-care-products-for-dry-skin-spots/;1;11;6
70;30.03;Лучшие ТВ-приставки: 6 вариантов;Даниил Баздырев ;/top-smart-tv-box/;12;50;29
71;28.03;Лучшие увлажняющие капли для глаз;Виктория Зорина ;/kapli-dlya-glaz/;4;20;43
72;24.03;Лучшие игровые наушники от известных компаний: 8 моделей от 4000 ₽;Дарья Тильная ;/best-gaming-headphones/;3;11;5
73;24.03;Моя косметичка: как я ухаживаю за кожей после курса системных ретиноидов;toni_raven ;/products-i-use-after-i-cured-my-acne/;5;30;11
74;23.03;Лучшие беспроводные клавиатуры: 8 вариантов для разных задач от 779 до 20 000 ₽;Никита Богуславский ;/best-wireless-keyboards/;16;77;47
75;22.03;Что купить для химчистки салона автомобиля;Константин Ищенко ;/himchistka-salona-avto/;3;4;31
76;21.03;Лучшие городские велосипеды: на чем ездить каждый день;Артем Соколов ;/best-city-bikes/;14;31;13
77;20.03;Натуральные гели для душа до 500 ₽;Мария Киселева ;/geli-dlya-dusha/;7;8;21
78;17.03;Лучшие видеокарты для игр и работы: 6 вариантов от 15 445 ₽;Семен Окороков ;/best-gpu/;7;27;12
79;17.03;Моя косметичка: как я ухаживаю за неприхотливой кожей случайными средствами;Far Away ;/my-care-for-sensitive-skin/;4;27;4
80;15.03;Лучшие горные велосипеды: для прогулок и ежедневного катания;Артем Соколов ;/best-mtb-bikes/;9;47;20
81;15.03;Лучшие горные велосипеды: для прогулок и ежедневного катания;Артем Соколов ;/best-mtb-bikes/;9;47;20
82;14.03;Лучшие бюджетные беспроводные наушники: 5 проверенных моделей до 8000 ₽;Даниил Баздырев ;/best-tws-lowcost/;29;89;88
83;13.03;Я собрал компьютер с «Алиэкспресса» за 33 497 ₽ — чтобы жаба не душила;Александр Мжельский ;/pc-from-ali/;11;23;16
84;10.03;Моя косметичка: как я ухаживаю за кожей с акне и розацеа;Сейлор Марс ;/combination-sensitive-skin-with-acne/;6;9;18
85;09.03;Лучшие мониторы для дома: 7 удачных вариантов среднего уровня до 40 000 ₽;Александр Герасимов ;/best-home-monitor/;22;30;60
86;08.03;Лучшие компактные смартфоны: 5 моделей от 25 000 ₽;Евгений Вильдяев ;/best-compact-phones/;7;16;9
87;08.03;Лучшие планшеты среднего класса: 5 удачных моделей до 35 000 ₽;Евгений Вильдяев ;/best-middle-tablets-2023/;13;4;27
88;08.03;Какой Айфон купить на вторичном рынке: 5 удачных моделей от 15 000 ₽;Никита Богуславский ;/list/secondhand-iphones/;18;38;25
89;08.03;Лучшие умные часы: 6 удачных моделей от 2800 ₽;Александр Герасимов ;/best-smartwatch/;23;73;38
90;07.03;Что я использую для фотосъемки природы, архитектуры и людей;Георгий Джеджея ;/my-photo-setup/;16;23;22
91;03.03;Лучшие профессиональные краски для волос;Оксана Мосеева ;/kraski-dlya-volos/;7;11;16
92;03.03;Моя косметичка: уход за проблемной кожей средствами до 600 ₽;поросячий хвостик ;/teenage-acne-skin-600/;5;22;12
93;02.03;Лучшие кнопочные телефоны: 7 удачных моделей от 890 ₽;Даниил Баздырев ;/best-featurephones/;25;25;33
94;01.03;Лучшие шоссейные велосипеды: на чем ездить быстро и далеко;Артем Соколов ;/best-road-bikes/;18;62;15
95;28.02;Лучшие ноутбуки для работы и не только: 7 удачных вариантов;Александр Герасимов ;/laptops-for-work/;28;123;118
96;27.02;Рейтинг лазерных принтеров;Оксана Мосеева ;/best-printers/;7;16;14
97;27.02;Я собрал ПК за 285 000 ₽, чтобы перепройти Cyberpunk 2077 с трассировкой лучей;Sergey Averyanov ;/pc-with-ray-tracing/;7;49;7
