;date;title;author;link;likes;comments;notes
221;10.02.22;«Когда все собрала, ПК просто не запустился»: 6 неприятных проблем при сборке компьютера;Алихан Исрапилов ;/pc-problems/;18;57;18
222;28.01.22;Моя косметичка: какие средства с кислотами я использую для проблемной кожи;Анастасия Шкреба ;/acid-products/;2;5;13
223;24.01.22;Лучшие смартфоны за 15 000 ₽: 5 удачных моделей;Александр Герасимов ;/best-lowcost-phones/;12;48;16
224;21.01.22;Моя косметичка: что я использую для чувствительной кожи, склонной к сухости;Little Marie ;/sensitive-dry-skin/;5;5;15
225;21.01.22;Робот-пылесос и меламиновые губки: 12 лучших покупок 2021 года;Вероника Нецова ;/short/top-goodbuy-2021/;14;23;25
226;14.01.22;Моя косметичка: как я ухаживаю за комбинированной кожей;Аноним ;/ukhod-za-kombi-kozhei/;9;16;18
227;30.12.21;Моя косметичка: как я 6 лет боролась с акне и подобрала уход за 100 000 ₽ в год;Ольга ;/poll-6-let-akne/;5;42;18
228;28.12.21;Лучшие беспроводные наушники до 8000 ₽;Даниил Баздырев ;/best-lowcost-tws/;21;69;42
229;24.12.21;Моя косметичка: как я нашла уход для чувствительной кожи без SLS;Оксана Токарева ;/poll-care-without-sls/;3;3;2
230;22.12.21;От 3D-моделирования до майнинга: 5 серьезных поводов собрать компьютер самому;Ефим Гугнин ;/pc-for-work/;9;44;16
231;17.12.21;Моя косметичка: как я ухаживаю за сухой возрастной кожей;Svetlana Svetlyachok ;/poll-dry-aging-skin/;5;2;17
232;10.12.21;Моя косметичка: как я нашла минимум для проблемной жирной кожи;Дарья Ладоненко ;/minimal-ukhod/;13;22;28
233;09.12.21;Надо брать: минималистичный рюкзак;Яков ;/good-riukzak-zavtra/;10;44;5
234;02.12.21;Надо брать: авоська;Даша Антонова ;/good-avoska-iz-ikei/;9;18;3
235;26.11.21;«Самое сложное — блок питания»: 8 советов, как самостоятельно собрать компьютер;Ефим Гугнин ;/pc-recommendations/;14;63;41
236;26.11.21;Моя косметичка: что я использую для кожи, жирной в Т-зоне;SimpleDeer ;/nabor-dlia-zhirnoi-kozhi/;4;1;9
237;26.11.21;Моя косметичка: что я использую для кожи, жирной в Т-зоне;SimpleDeer ;/nabor-dlia-zhirnoi-kozhi/;4;1;9
238;25.11.21;Надо брать: портативный проектор;Помешанный аэросъемщик ;/good-proektor/;9;22;15
239;18.11.21;Моя косметичка: как я подобрала средства для обезвоженной кожи, склонной к жирности;Ira Rekh ;/my-products-for-oily-skin/;4;3;19
240;18.11.21;Надо брать: балкон для кошек;Саша Уткина ;/good-koshachii-balkon/;25;51;15
241;11.11.21;Моя косметичка: как я 10 лет боролась с акне и смогла найти подходящие средства;schyochky ;/10-let-acne/;14;12;36
242;11.11.21;Надо брать: вертикальный пылесос с ультрафиолетовой лампой;Lina ;/good-vertikalnyi-pylesos/;3;15;7
243;04.11.21;Надо брать: вафельница;Никита Ярунин ;/good-vafelnitsa/;8;23;8
244;28.10.21;Моя косметичка: что я использую для нормальной кожи с постакне;Аноним ;/norm-kozha-s-postakne/;4;4;22
245;28.10.21;Надо брать: парогенератор;Anton Zhitarev ;/good-parogenerator/;10;6;8
246;25.10.21;Моя косметичка: что посоветовал дерматолог для жирной кожи, склонной к акне;BosiCom ;/dlia-zhirnoi-kozhi-sklonnoi-k-akne/;20;18;52
247;21.10.21;Надо брать: моющий робот-пылесос;Дарья Ристевски ;/good-robot-pylesos/;7;54;23
248;15.10.21;Никогда не покупайте это: стайлер для волос;Аделаида Титенгаузен ;/bad-stailer-dlia-volos/;2;21;2
249;14.10.21;Моя косметичка: как я ухаживаю за жирной кожей, чувствительной к некоторым компонентам;Аноним ;/kozha-reagiruyet-na-komponenty/;3;1;9
250;14.10.21;Надо брать: столик-поднос на ножках;Ilya Ovchinnikov ;/stolik-goodbuy/;6;9;1
251;07.10.21;Моя косметичка: как я ухаживаю за чувствительной кожей с розацеа;Александра Соболева ;/dlia-kozhi-s-rozatsea/;9;24;20
252;07.10.21;Надо брать: газовая печь с одноразовыми баллонами;Александр Егоров ;/good-gazovaia-pech/;5;13;6
253;30.09.21;Моя косметичка: как я ухаживаю за кожей с жирной Т-зоной и трачу на это до 100 000 ₽ в год;Jeanmishel ;/t-zona/;8;10;8
254;30.09.21;Надо брать: маска для сна;Тамара Малькова ;/good-mask-for-sleep/;12;39;5
255;23.09.21;Моя косметичка: как я ухаживаю за комбинированной кожей со следами акне;J H ;/kombi-so-sledami-akne/;8;27;33
256;23.09.21;Надо брать: деревянный стеллаж;Виктор Ренатов ;/stellazh-goodbuy/;4;20;1
257;16.09.21;Моя косметичка: как я ухаживаю за сухой чувствительной кожей;Региональный энтузиаст ;/ukhazhivaiu-za-sukhoi-kozhei/;6;8;22
258;16.09.21;Надо брать: беспроводная мышь;mаpиoнeтo4ka ;/mouse-goodbuy/;4;48;4
259;09.09.21;Надо брать: силиконовый коврик для выпечки;Виктория Нельзон ;/good-baking-mat/;4;23;2
260;09.09.21;Надо брать: силиконовый коврик для выпечки;Виктория Нельзон ;/good-baking-mat/;4;23;2
261;09.09.21;Моя косметичка: как я подбирала уход для молодой комбинированной кожи;Аноним ;/molodaya-kombi-kozha/;6;6;10
262;02.09.21;Моя косметичка: как я нашел уход для кожи с розацеа, склонной к акне;Егор Чужин ;/zolotoi-standart-ot-akne/;23;19;45
263;02.09.21;Моя косметичка: как я нашел уход для кожи с розацеа, склонной к акне;Егор Чужин ;/zolotoi-standart-ot-akne/;23;19;45
264;02.09.21;Надо брать: капучинатор;Анна Лебедева ;/kapuchinator-goodbuy/;7;31;2
265;02.09.21;6 ингредиентов в косметике, которые могут вызвать аллергию;Ася Попова ;/short/cosmetics-irritants/;3;5;10
266;26.08.21;Надо брать: туристический карабин;Artur Bikmukhametov ;/karabin-goodbuy/;8;13;4
267;26.08.21;Моя косметичка: как я ухаживаю за жирной кожей с высыпаниями;honey ;/oily-skin-with-rashes/;11;17;39
268;19.08.21;Надо брать: поясная сумка;Илюша Перин ;/good-poiasnaia-sumka/;14;39;3
269;12.08.21;Надо брать: электрический штопор;Ltnt ;/good-electric-corkscrew/;2;20;1
270;05.08.21;Надо брать: погружной блендер;Аноним ;/good-hand-blender/;3;21;6
271;29.07.21;Надо брать: подвесной походный фонарь;Кира Кононович ;/good-hanging-lantern/;1;2;1
272;28.07.21;Никогда не покупайте это: любые наушники «Эпл»;Аноним ;/bad-apple-earpods/;10;89;4
273;22.07.21;Надо брать: подставка под кисти для макияжа;Аноним ;/good-brush-stand/;1;8;3
274;21.07.21;Никогда не покупайте это: напольный мобильный кондиционер;Boltunec ;/bad-conditioner/;15;55;6
275;15.07.21;Надо брать: умная лампа;Pavel Usachev ;/good-smart-lamp/;2;13;9
276;14.07.21;Никогда не покупайте это: ноутбук HP с технологией Sure View;Аноним ;/bad-notebook-sure-view/;17;44;5
277;08.07.21;Надо брать: магнитный кабель для зарядки и передачи данных;Ltnt ;/good-cable/;7;19;9
278;07.07.21;Никогда не покупайте это: соковыжималка;Руслан Асадов ;/bad-juicer/;5;16;3
279;01.07.21;Надо брать: коротковолновый радиоприемник;Егор ;/good-radiopriemnik/;12;14;6
280;30.06.21;Никогда не покупайте это: зеркало для макияжа на присоске из «Инстаграма»;Аноним ;/bad-zerkalo-na-prisoske/;2;1;1
281;24.06.21;Надо брать: укулеле;Victoria ;/good-ukulele/;15;12;12
282;23.06.21;Никогда не покупайте это: сковорода гриль-газ;Аноним ;/bad-grill-gas-pan/;4;12;1
283;17.06.21;Надо брать: машинка для удаления катышков;egor seal ;/britva-goodbuy/;10;10;13
284;16.06.21;Никогда не покупайте это: умные напольные весы;Victoria Lysenkova ;/bad-vesy/;8;35;4
285;10.06.21;Надо брать: электрическая мухобойка;Денис Салихов ;/muha-goodbuy/;11;9;6
286;09.06.21;Никогда не покупайте это: беговая дорожка;Анастасия Парфенова ;/bad-doroga/;8;43;7
287;03.06.21;Надо брать: телескопическая чесалка для спины;Lana Ryzhkova ;/chesalka-goodbuy/;9;11;2
288;02.06.21;Никогда не покупайте это: чугунная сковородка;Екатерина ;/bad-cast-iron-pan/;9;110;4
289;02.06.21;Никогда не покупайте это: чугунная сковородка;Екатерина ;/bad-cast-iron-pan/;9;110;4
290;26.05.21;Надо брать: ночник с датчиком движения;Dima ;/nochnik-goodbuy/;14;7;10
291;19.05.21;Никогда не покупайте это: электрическая пароварка;Тата Рябоконь ;/parovar-bad/;5;25;
292;12.05.21;Надо брать: многоразовая пеленка;Дмитрий Батурин ;/pelenka-goodbuy/;4;18;3
293;05.05.21;Никогда не покупайте это: наушники «Эпл Эйрподс»;Полиграф Шариков ;/bad-airpods/;21;106;9
294;28.04.21;Надо брать: набор формочек для печенья;Аноним ;/elk-goodbuy/;2;2;1
295;21.04.21;Никогда не покупайте это: ванночка для парафинотерапии;Anastasia For ;/vosk-bad/;7;6;1
296;14.04.21;Надо брать: меламиновые губки;Юлёк Кашина ;/gubki-goodbuy/;26;42;13
297;07.04.21;Никогда не покупайте это: система стабилизации видеокамеры для телефона;Аноним ;/bad-steadicam/;4;20;4
298;31.03.21;Надо брать: отпугиватель собак;Не Он ;/no-dogs-goodbuy/;24;40;10
299;24.03.21;Никогда не покупайте это: аэрогриль со стеклянной чашей;Харухи Судзумия ;/bad-aerogrill/;8;38;2
300;17.03.21;Надо брать: менструальная чаша;Natalia Shakhoff ;/chasha-goodbuy/;18;52;8
301;16.03.21;Чайный батл: в чем заваривать чай, чтобы было вкусно;Вероника Нецова ;/zavari-chayu/;19;31;28
302;10.03.21;Никогда не покупайте это: индукционный капучинатор;Аноним ;/bad-more-kapuchinator/;1;55;1
303;03.03.21;Надо брать: термокружка из нержавейки;Аноним ;/termokruzhka-goodbuy/;7;27;6
304;24.02.21;Никогда не покупайте это: вертикальный пылесос;Аноним ;/pylesos-badbuy/;17;63;5
305;17.02.21;Надо брать: маленькая гейзерная кофеварка;Оля Селиванова ;/geizer-goodbuy/;12;45;12
306;10.02.21;Никогда не покупайте это: паровая швабра;Таня Патаня ;/shvabra-badbuy/;12;44;1
307;03.02.21;Надо брать: заварочный стеклянный чайник;Аноним ;/teapot-goodbuy/;9;39;6
308;27.01.21;Никогда не покупайте это: мультиварка;Не Он ;/multivar-badbuy/;11;132;5
309;20.01.21;Надо брать: кухонные весы;Oльга ;/nado-brat-kukhonnye-vesy-iz-ashana/;16;11;4
310;13.01.21;Никогда не покупайте это: электронная ручка;Редакция ;/bad-ruchka/;3;31;
311;30.12.20;Никогда не покупайте это: телескопическая удочка;Редакция ;/bad-udochka/;1;24;1
312;23.12.20;Никогда не покупайте это: складная беговая дорожка;Редакция ;/bad-dorozhka/;7;40;2
313;16.12.20;Никогда не покупайте это: подержанный велосипед;Редакция ;/bad-velik/;7;98;6
314;09.12.20;Никогда не покупайте это: отреставрированный автомобиль ГАЗ-24 «Волга»;Денис Пушкарь ;/gaz-24-volga/;17;74;3
315;09.12.20;Никогда не покупайте это: отреставрированный автомобиль ГАЗ-24 «Волга»;Денис Пушкарь ;/gaz-24-volga/;17;74;3
